,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
159,329402900,70maiofficial,2,364,6,4.907859,"Quận Cầu Giấy, Hà Nội",1603957977
160,73436667,autocap.top,5,1001,14,4.91269,"Quận Nam Từ Liêm, Hà Nội",1528263235
161,479664968,1i44v7yboi,1,53,3,4.730769,"Quận Thanh Xuân, Hà Nội",1625219415
162,303800658,quaffzestvn.vn,215,9250,296,4.798646,,1598957761
163,14012700,rita_official,2,445,6,4.924107,"Quận Phú Nhuận, TP. Hồ Chí Minh",1482131719
164,667164735,ddpaiofficial,8,1022,10,4.92885,"Quận Bình Tân, TP. Hồ Chí Minh",1643103586
165,683659627,carzone.top,151,6921,226,4.793573,"Huyện Thanh Trì, Hà Nội",1644475956
166,11514252,thegioiaudio.ontekco,887,23329,918,4.681337,"Huyện Thanh Trì, Hà Nội",1477456368
167,304899449,oledc2,15,1004,28,4.84593,"Huyện Hiệp Hòa, Bắc Giang",1599193112
168,3075268,zestore.vn,802,97195,2429,4.866745,"Quận Bắc Từ Liêm, Hà Nội",1454205168
169,117522564,shopdientuquangchau,6,346,16,4.756374,"Huyện Cao Lộc, Lạng Sơn",1546184371
170,162631527,cameraanninhgiare,53,2660,119,4.768833,"Quận Gò Vấp, TP. Hồ Chí Minh",1563025211
171,401263973,rlb002.vn,2,70,3,4.76,,1615451835
172,191113247,hoantrantvh,3,178,1,4.857143,"Huyện Đông Anh, Hà Nội",1571837724
173,17917892,tcar.pro,23,2574,52,4.869919,"Quận Hải An, Hải Phòng",1489135076
174,633248085,giadinhstore6868,46,5248,73,4.879681,"Quận Hoàng Mai, Hà Nội",1640168195
175,842743668,newstarhanoi,143,4970,129,4.615861,"Quận Đống Đa, Hà Nội",1660620052
176,11279821,camerayoosee,1680,58206,2125,4.752559,"Quận Hà Đông, Hà Nội",1476941908
177,347048079,deli_oa_officialstore,47,3328,84,4.843201,"Huyện Thường Tín, Hà Nội",1606628442
178,47484605,vietstarquocte,92,3792,107,4.79171,"Quận Bình Tân, TP. Hồ Chí Minh",1513000392
179,48608792,camera_a_tan_official_store_sg,442,16283,651,4.741978,"Quận Tân Bình, TP. Hồ Chí Minh",1513528275
180,48608792,camera_a_tan_official_store_sg,442,16283,651,4.741978,"Quận Tân Bình, TP. Hồ Chí Minh",1513528275
181,958799041,hanoinew90,4,378,2,4.955614,"Quận Đống Đa, Hà Nội",1677139120
182,529351798,trangiatelecom.vn,11,1540,18,4.927041,"Quận Gò Vấp, TP. Hồ Chí Minh",1630820076
183,769078898,imouhanoi,7,440,10,4.84633,"Quận Hai Bà Trưng, Hà Nội",1652253423
184,226704762,tenda_official_store,76,6489,149,4.861438,"Quận 10, TP. Hồ Chí Minh",1581388746
185,585862174,vietstar.media,23,1585,66,4.787154,"Quận Gò Vấp, TP. Hồ Chí Minh",1636455158
186,235508763,hungtv96,1,32,2,4.771429,"Quận Thanh Xuân, Hà Nội",1584065889
187,168031188,chikhangxehoipro.net,78,2971,108,4.768576,"Quận Bắc Từ Liêm, Hà Nội",1564981583
188,28317988,phukiencongnghe.top,851,26654,1042,4.725763,"Huyện Thanh Trì, Hà Nội",1500569178
189,49961034,doanlanchi,656,14774,756,4.659488,"Quận Gò Vấp, TP. Hồ Chí Minh",1514365659
190,154342691,evean2.vn,135,3645,195,4.698845,,1560131386
191,14012700,rita_official,2,445,6,4.924107,"Quận Phú Nhuận, TP. Hồ Chí Minh",1482131719
192,238323920,fasvineveryone,11,546,20,4.772085,"Quận Thanh Xuân, Hà Nội",1584942641
193,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
194,22020379,tdk0404,8,841,26,4.855491,"Quận 3, TP. Hồ Chí Minh",1494260355
195,775163690,sidacommerce.vn,6,58,3,4.462687,,1652950842
196,18356644,halle23,0,10,1,4.727273,"Quận Hoàn Kiếm, Hà Nội",1489711736
